                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86462,                0.93548,                 0.9896,                0.90671,                0.75557,                0.84987,                0.64031,                0.89528,                 1.0285,                 1.2165,               0.000467,               0.000467,               0.000467
                     36,                0.80932,                0.95529,                0.99781,                0.85769,                0.76621,                0.85751,                 0.6714,                0.85162,                0.94908,                 1.2334,              0.0004387,              0.0004387,              0.0004387
                     37,                0.86321,                0.90917,                 1.0078,                0.83301,                0.78153,                 0.8482,                0.68011,                0.84757,                 1.1518,                 1.2439,             0.00041041,             0.00041041,             0.00041041
                     38,                0.75987,                0.84776,                0.97434,                0.89375,                 0.7866,                0.83945,                0.64912,                0.85673,                 1.1044,                 1.2075,             0.00038211,             0.00038211,             0.00038211
                     39,                0.78056,                0.86922,                  0.988,                0.91161,                0.78959,                0.83484,                0.64926,                0.74743,                0.97448,                 1.1235,             0.00035382,             0.00035382,             0.00035382
                     40,                0.73335,                0.98196,                 0.9368,                0.92027,                0.78927,                0.83705,                0.65908,                0.74926,                0.90569,                 1.1152,             0.00032553,             0.00032553,             0.00032553
                     41,                0.85245,                 0.9984,                0.99336,                0.90534,                0.77937,                0.84441,                 0.6428,                0.82572,                0.95149,                 1.1235,             0.00029723,             0.00029723,             0.00029723
                     42,                0.80809,                 1.0083,                 1.0131,                0.89557,                0.76338,                0.85125,                0.66638,                0.76449,                0.99587,                 1.1121,             0.00026894,             0.00026894,             0.00026894
                     43,                  0.758,                 1.0031,                0.98531,                0.85733,                0.80641,                0.85911,                0.70876,                0.77013,                0.81186,                 1.0922,             0.00024064,             0.00024064,             0.00024064
                     44,                 0.7458,                0.93914,                 0.9663,                0.89201,                0.79614,                0.85518,                0.69318,                0.76363,                0.73663,                 1.0793,             0.00021235,             0.00021235,             0.00021235
                     45,                0.72327,                0.88469,                0.97088,                0.90619,                0.77322,                0.85493,                0.68398,                 0.7543,                0.70879,                 1.0575,             0.00018406,             0.00018406,             0.00018406
                     46,                0.73227,                0.90283,                 0.9601,                 0.8683,                0.80228,                0.86158,                0.69398,                 0.7843,                0.77136,                 1.0813,             0.00015576,             0.00015576,             0.00015576
                     47,                0.72126,                0.85357,                0.97202,                0.85011,                0.77736,                0.84375,                0.64781,                0.79173,                 1.0305,                 1.1427,             0.00012747,             0.00012747,             0.00012747
                     48,                0.66076,                0.80593,                0.94422,                0.85969,                0.77954,                0.86456,                 0.6696,                 0.7329,                0.83525,                 1.0696,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.65957,                0.79549,                0.94889,                 0.8701,                0.78535,                0.86738,                0.66577,                0.69888,                0.68589,                 1.0295,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.64919,                0.81425,                0.93775,                0.85565,                0.80882,                0.86777,                0.69966,                0.69617,                0.64186,                 1.0202,             4.2584e-05,             4.2584e-05,             4.2584e-05
